순위,관광지명,광역시,시/군/구,lat,lng,area_cd,are_nm,distance_to_center_km,중분류 카테고리,소분류 카테고리,검색건수,실내/실외 구분,추천 연령대,K-Beauty_추천_페르소나
2011,몬스터롤러스케이트장,서울특별시,강서구,37.5592993072378,126.845709656503,POI027,발산역,0.706,레저스포츠,육상레저스포츠,615,실외,전연령,공통(전체)
2012,논현까치공원,서울특별시,강남구,37.508501703267655,127.02514267350736,POI037,신논현역·논현역,0.412,문화관광,도시공원,615,실외,3040세대,대만
2013,신성골목시장,서울특별시,광진구,37.557957805944,127.088481891224,POI102,아차산,0.642,쇼핑,시장,614,혼합,5060세대,대만
2014,장안평,서울특별시,동대문구,37.5635139106829,127.068690048631,POI049,장한평역,0.488,기타관광,기타관광,614,혼합,전연령,공통(전체)
2015,BTAC여의도점,서울특별시,영등포구,37.51896962400017,126.93329191323063,POI105,여의도한강공원,0.841,레저스포츠,기타레저스포츠,613,혼합,전연령,공통(전체)
2016,동작반려견공원,서울특별시,동작구,37.5134368062998,126.933726655491,POI063,노량진,1.029,문화관광,도시공원,612,실외,3040세대,대만
2017,경복대학교산학협력관,서울특별시,동대문구,37.57552357484288,127.02462294425484,POI002,동대문 관광특구,1.255,체험관광,체험관광기타,612,혼합,3040세대,대만
2018,아라리오뮤지엄인스페이스,서울특별시,종로구,37.5777438354931,126.988547970142,POI078,인사동,0.441,문화관광,전시시설,612,실내,3040세대,"중국, 일본, 미국"
2019,전쟁과여성인권박물관,서울특별시,마포구,37.560081221933736,126.9148770537037,POI073,연남동,0.724,문화관광,전시시설,611,실내,3040세대,"중국, 일본, 미국"
2020,벨로주,서울특별시,마포구,37.5524309259852,126.918817238433,POI053,합정역,0.476,문화관광,공연시설,611,실내,전연령,"중국, 홍콩"
2021,성남고등학교 야구장,서울특별시,동작구,37.503601489627,126.926212268665,POI123,보라매공원,1.253,체험관광,체험관광기타,611,혼합,3040세대,대만
2022,힐스포츠파크,서울특별시,동대문구,37.5733194760319,127.063817853438,POI049,장한평역,1.303,레저스포츠,기타레저스포츠,611,혼합,전연령,"미국, 홍콩"
2023,북한산생태숲,서울특별시,성북구,37.621218796327,127.007004801522,POI026,미아사거리역,2.216,문화관광,도시공원,610,실외,전연령,대만
2024,잼잼키즈룸,서울특별시,양천구,37.5204536093412,126.860929712592,POI117,신정네거리역,0.71,문화관광,테마공원,610,혼합,3040세대,미국
2025,에이앤 프리햅,서울특별시,강동구,37.5250566790692,127.128047783391,POI127,올림픽공원,0.812,레저스포츠,기타레저스포츠,610,혼합,전연령,공통(전체)
2026,고덕수변생태공원,서울특별시,강동구,37.5708944525609,127.156166156499,POI016,고덕역,1.771,문화관광,도시공원,609,실외,3040세대,대만
2027,런닝맨인사동점,서울특별시,종로구,37.57189624483897,126.98723010604596,POI116,익선동,0.282,문화관광,테마공원,609,혼합,3040세대,미국
