순위,상품명,카테고리 이름,브랜드 이름,가격,할인 가격,image_url,oliveyoung_best_combined_0317 (1),oliveyoung_best_combined_0318,oliveyoung_best_combined_0321,oliveyoung_best_combined_0325,oliveyoung_best_combined_0328,goods_no,
63,[126매 대용량/올리브영 단독] 리쥬란 포어 타이트닝 토너 패드 60매 더블 한정 기획,더모 코스메틱,리쥬란,45000.0,28900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023676704ko.jpg?l=ko,12.0,13.0,12.0,37.0,65.0,A000000236767,
64,[올영단독] 아누아 데일리케어 마스크팩 5매 기획 8종(+1매 추가 증정),마스크팩,아누아,20000.0,9500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023183640ko.png?l=ko,15.0,45.0,25.0,23.0,36.0,A000000231836,
65,제로이드 포밍 클렌저 240ml,더모 코스메틱,제로이드,24000.0,24000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020991006ko.jpg?l=ko,27.0,25.0,22.0,40.0,38.0,A000000209910,
66,[3월 올영픽/미니언즈 콜라보] 마미케어 EMS 브이쎄라 4종 중 택 1 (기획/단품),스킨케어,마미케어,109000.0,91000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024879725ko.jpg?l=ko,31.0,46.0,31.0,27.0,14.0,A000000248797,
67,[3월올영픽] 메이크프렘 모이스처 클렌징폼 150ml 1+1 기획 (+PDRN 클렌징밀크 21ml),클렌징,메이크프렘,18000.0,15300.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023167541ko.jpg?l=ko,34.0,33.0,28.0,29.0,32.0,A000000231675,
68,바이오더마 센시비오 H2O 500ml,더모 코스메틱,바이오더마,27000.0,17960.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024721502ko.jpg?l=ko,31.0,31.0,36.0,22.0,37.0,A000000247215,
69,[1등 미스트] 아벤느 오 떼르말 미스트 300ml*2 + 50ml 기획,더모 코스메틱,아벤느,34000.0,25900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0016/A00000016643617ko.jpg?l=ko,24.0,22.0,38.0,12.0,61.0,A000000166436,
70,[180매] 코스알엑스 원스텝 패드 90매 더블기획 3종 중 택1,마스크팩,코스알엑스,32000.0,19800.0,,26.0,29.0,33.0,29.0,43.0,A000000167387,
71,[피지케어/코칫솔증정] 에이프릴스킨 당근클렌징밤 90ml 기획 (+코칫솔 증정),클렌징,에이프릴스킨,21000.0,19900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020247255ko.jpg?l=ko,28.0,29.0,41.0,37.0,24.0,A000000202472,
72,[3월 올영픽/올영단독선런칭]라로슈포제 안뗄리오스 선 플루이드 50ml 기획 (+15ml +멜라 B3 세럼 3ml),더모 코스메틱,라로슈포제,37000.0,26500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025006402ko.jpg?l=ko,26.0,42.0,50.0,30.0,13.0,A000000250064,
